captured_at_utc,category_no,category_name,view_cnt
2025-08-20 06:00:00+00:00,360069,오딘: 발할라 라이징,4
2025-08-20 06:00:00+00:00,360070,블레이드 & 소울 2,0
2025-08-20 06:00:00+00:00,360072,컴투스프로야구2023,0
2025-08-20 06:00:00+00:00,360073,리니지W,0
2025-08-20 06:00:00+00:00,360074,포켓몬 유나이트,0
2025-08-20 06:00:00+00:00,360075,언디셈버,0
2025-08-20 06:00:00+00:00,360076,트라하 인피니티,0
2025-08-20 06:00:00+00:00,360077,던전앤파이터 모바일,0
2025-08-20 06:00:00+00:00,360078,넷마블 프로야구 2022,0
2025-08-20 06:00:00+00:00,360079,미르M,0
2025-08-20 06:00:00+00:00,360080,우마무스메 프리티 더비,0
2025-08-20 06:00:00+00:00,360081,세븐나이츠 레볼루션,0
2025-08-20 06:00:00+00:00,360082,히트2,0
2025-08-20 06:00:00+00:00,360083,미틱 히어로즈,0
2025-08-20 06:00:00+00:00,360084,문명: Reign of Power,0
2025-08-20 06:00:00+00:00,360085,라그나로크X,0
2025-08-20 06:00:00+00:00,360086,디스라이트,0
2025-08-20 06:00:00+00:00,360087,AFK아레나,0
2025-08-20 06:00:00+00:00,360088,나이트 크로우,0
2025-08-20 06:00:00+00:00,360089,아레스: 라이즈 오브 가디언즈,0
2025-08-20 06:00:00+00:00,360090,디펜스 더비,0
2025-08-20 06:00:00+00:00,360091,진·삼국무쌍 M,0
2025-08-20 06:00:00+00:00,360092,승리의 여신: 니케,57
2025-08-20 06:00:00+00:00,360093,블루 아카이브,0
2025-08-20 06:00:00+00:00,360094,붕괴: 스타레일,1
2025-08-20 06:00:00+00:00,360095,나 혼자만 레벨업:ARISE,0
2025-08-20 06:00:00+00:00,360096,롬: 리멤버 오브 마제스티,0
2025-08-20 06:00:00+00:00,360097,아스달 연대기: 세 개의 세력,0
2025-08-20 06:00:00+00:00,360098,서머너즈 워: 천공의 아레나,0
2025-08-20 06:00:00+00:00,360099,레이븐2,0
2025-08-20 06:00:00+00:00,360100,명조: 워더링 웨이브,0
2025-08-20 06:00:00+00:00,360101,로드나인,0
2025-08-20 06:00:00+00:00,360102,젠레스 존 제로,0
2025-08-20 06:00:00+00:00,360103,콜 오브 듀티: 모바일,0
2025-08-20 06:00:00+00:00,360104,에이지 오브 엠파이어 모바일,0
2025-08-20 06:00:00+00:00,360105,포켓몬 카드 게임 Pocket,0
2025-08-20 06:00:00+00:00,360106,지천,0
2025-08-20 06:00:00+00:00,360107,명일방주,0
2025-08-20 06:00:00+00:00,360108,발할라 서바이벌,0
2025-08-20 06:00:00+00:00,360109,레이튼 교수와 이상한 마을 HD,0
2025-08-20 06:00:00+00:00,360110,레이튼 교수와 악마의 상자 HD,0
2025-08-20 06:00:00+00:00,360111,레전드 오브 이미르,0
2025-08-20 06:00:00+00:00,360113,마비노기 모바일,161
2025-08-20 06:00:00+00:00,360114,컴투스프로야구V25,0
2025-08-20 06:00:00+00:00,360115,쿠키런: 오븐스매시,0
2025-08-20 06:00:00+00:00,360116,작혼: 리치 마작,0
2025-08-20 06:00:00+00:00,360117,세븐나이츠 리버스,0
2025-08-20 06:00:00+00:00,360118,제5인격,0
2025-08-20 06:00:00+00:00,360119,EA SPORTS FC 모바일,0
2025-08-20 06:00:00+00:00,360120,메이플스토리M,0
2025-08-20 06:00:00+00:00,360121,뱀피르,0
2025-08-20 06:00:00+00:00,370010,챔피언스리그,0
2025-08-20 06:00:00+00:00,370011,프리미어리그,0
2025-08-20 06:00:00+00:00,390003,JTBC,9
2025-08-20 06:00:00+00:00,390004,MBN,5
2025-08-20 06:00:00+00:00,390006,TV CHOSUN,11
2025-08-20 06:00:00+00:00,390013,연합뉴스,405
2025-08-20 06:00:00+00:00,390024,YTN LIVE,128
2025-08-20 06:00:00+00:00,410000,전국체전,0
2025-08-20 06:00:00+00:00,570002,당구,0
2025-08-20 06:00:00+00:00,570003,피트니스,1
2025-08-20 06:00:00+00:00,570004,토크/분석,552
2025-08-20 06:00:00+00:00,570005,기타 스포츠,11
2025-08-20 06:00:00+00:00,570006,볼링,0
2025-08-20 06:00:00+00:00,570007,골프,1
2025-08-20 06:00:00+00:00,570013,마인드 스포츠,40
2025-08-20 06:00:00+00:00,570014,럭비,0
2025-08-20 06:00:00+00:00,570015,라크로스,19
2025-08-20 06:00:00+00:00,570016,스쿼시,6
2025-08-20 06:00:00+00:00,570017,배드민턴,0
2025-08-20 06:00:00+00:00,580000,펫방,83
2025-08-20 06:00:00+00:00,590000,더빙/라디오,302
2025-08-20 06:00:00+00:00,670000,낚시,576
2025-08-20 06:00:00+00:00,720000,LCK,1443
2025-08-20 06:00:00+00:00,740000,여행,14849
2025-08-20 06:00:00+00:00,800000,WWE,19
2025-08-20 06:00:00+00:00,810000,버추얼,6592
2025-08-20 06:00:00+00:00,840001,아마 야구,184
2025-08-20 06:00:00+00:00,840002,아마 축구,0
